Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
58	3508	n/a	0	0	n/a	N	0	00	128	51.9	2.14	0.24	0.26	17773	96	n/a	861	128	n/a	80	128	n/a	98	128	n/a	
59	3547	n/a	0	0	n/a	N	0	11	1633	1276	97.9	4.13	7.63	31221	1540	n/a	2807	1628	n/a	108	1632	n/a	285	1632	n/a	
60	3561	n/a	0	0	n/a	N	0	00	55	7.74	1.32	0.14	0.44	6082	0	n/a	1134	52	n/a	110	52	n/a	355	52	n/a	
61	3590	n/a	0	0	n/a	N	0	00	559	145	4.48	0.96	0.76	11238	132	n/a	636	556	n/a	71	556	n/a	78	556	n/a	
62	3624	n/a	0	0	n/a	N	0	00	113	19.3	0.54	0.19	0.15	7482	0	n/a	314	108	n/a	70	112	n/a	58	112	n/a	
63	3772	n/a	0	0	n/a	N	0	00	65	8.67	0.21	0.11	0.09	6142	0	n/a	233	60	n/a	71	64	n/a	56	64	n/a	
64	3844	n/a	0	0	n/a	N	0	11	1434	979	77.0	3.36	5.30	28141	1252	n/a	3968	1380	n/a	129	1432	n/a	359	1312	n/a	
65	3870	n/a	0	0	n/a	N	0	00	115	17.3	0.53	0.20	0.16	7568	0	n/a	252	112	n/a	76	112	n/a	67	112	n/a	
66	3890	n/a	0	0	n/a	N	0	00	48	7.74	0.38	0.07	0.05	6918	0	n/a	319	48	n/a	59	48	n/a	49	48	n/a	
67	3904	n/a	0	0	n/a	N	0	00	49	6.93	0.69	0.10	0.09	5885	0	n/a	697	48	n/a	87	48	n/a	77	48	n/a	
68	3941	n/a	0	0	n/a	N	0	01	630	176	6.43	1.23	1.15	19317	272	n/a	514	620	n/a	82	628	n/a	95	628	n/a	
69	3946	n/a	0	0	n/a	N	0	00	247	87.3	2.98	0.46	0.46	16893	172	n/a	789	244	n/a	91	244	n/a	91	244	n/a	
70	3969	n/a	0	0	n/a	N	0	00	321	61.4	2.44	0.58	0.94	7896	0	n/a	652	320	n/a	82	320	n/a	245	320	n/a	
71	4137	n/a	0	0	n/a	N	0	00	180	32.4	3.33	0.43	0.67	8815	0	n/a	869	180	n/a	92	180	n/a	165	180	n/a	
72	4154	n/a	0	0	n/a	N	0	01	953	346	16.1	1.94	1.89	14908	748	n/a	918	936	n/a	88	952	n/a	106	952	n/a	
73	4164	n/a	0	0	n/a	N	0	00	150	30.5	0.81	0.27	0.22	13035	32	n/a	412	120	n/a	77	148	n/a	68	148	n/a	
74	4166	n/a	0	0	n/a	N	0	00	280	48.2	8.70	0.69	1.66	9425	0	n/a	2113	280	n/a	108	280	n/a	349	280	n/a	
75	4283	n/a	0	0	n/a	N	0	00	340	133	4.80	0.69	0.67	28772	184	n/a	1137	340	n/a	96	340	n/a	116	340	n/a	
76	4385	n/a	0	0	n/a	N	0	00	389	144	5.07	0.77	0.88	26219	272	n/a	1101	372	n/a	83	388	n/a	162	388	n/a	
77	4405	n/a	0	0	n/a	N	0	01	586	218	8.89	1.19	1.36	20601	412	n/a	854	580	n/a	97	584	n/a	129	584	n/a	
78	4485	n/a	0	0	n/a	N	0	00	67	10.4	0.34	0.11	0.10	6920	0	n/a	305	56	n/a	74	64	n/a	65	64	n/a	
79	4553	n/a	0	0	n/a	N	0	11	1469	759	49.5	3.16	4.64	61014	1240	n/a	4213	1412	n/a	141	1468	n/a	425	1468	n/a	
80	4617	n/a	0	0	n/a	N	0	00	390	86.1	3.04	0.77	0.58	8915	0	n/a	467	380	n/a	77	388	n/a	67	388	n/a	
81	4925	n/a	0	0	n/a	N	0	00	355	106	4.97	0.64	0.68	16893	156	n/a	1269	352	n/a	75	352	n/a	117	352	n/a	
82	5091	n/a	0	0	n/a	N	0	01	667	200	8.21	1.09	1.03	15516	312	n/a	769	656	n/a	73	664	n/a	90	664	n/a	
83	5190	n/a	0	0	n/a	N	0	00	88	11.8	0.30	0.17	0.11	6277	0	n/a	261	88	n/a	77	88	n/a	54	88	n/a	
84	5297	n/a	0	0	n/a	N	0	00	41	6.01	0.24	0.07	0.05	6380	0	n/a	315	40	n/a	69	40	n/a	64	40	n/a	
85	5338	n/a	0	0	n/a	N	0	01	477	366	27.0	1.29	2.53	35458	372	n/a	3220	468	n/a	115	476	n/a	293	476	n/a	
86	5394	n/a	0	0	n/a	N	0	00	90	11.8	0.26	0.19	0.15	5634	0	n/a	195	84	n/a	86	88	n/a	70	88	n/a	
87	5396	n/a	0	0	n/a	N	0	11	1917	1033	75.6	4.31	6.17	21224	1728	n/a	2127	1916	n/a	99	1916	n/a	225	1916	n/a	
88	5403	n/a	0	0	n/a	N	0	00	419	95.5	2.44	0.73	0.59	9227	0	n/a	379	412	n/a	77	416	n/a	76	416	n/a	
89	5517	n/a	0	0	n/a	N	0	00	79	14.2	1.95	0.17	0.29	7197	0	n/a	1203	76	n/a	89	76	n/a	162	76	n/a	
90	5565	n/a	0	0	n/a	N	0	11	2007	661	54.8	4.22	5.62	19030	1060	n/a	1533	1976	n/a	92	2004	n/a	175	1992	n/a	
91	5618	n/a	0	0	n/a	N	0	00	327	59.7	6.91	0.76	1.06	7756	0	n/a	1159	324	n/a	101	324	n/a	204	324	n/a	
92	5697	n/a	0	0	n/a	N	0	11	1562	1012	78.5	3.60	5.55	27022	1436	n/a	2597	1560	n/a	103	1560	n/a	260	1548	n/a	
93	5698	n/a	0	0	n/a	N	0	00	445	107	3.40	0.75	0.59	9019	0	n/a	522	444	n/a	75	444	n/a	70	444	n/a	
94	5723	n/a	0	0	n/a	N	0	00	71	9.70	0.18	0.11	0.08	6268	0	n/a	162	68	n/a	68	68	n/a	60	68	n/a	
